Accession,Genotype,Species,Total,bbduk_removed,bbduk_percentage_removed,bbduk_remaining,salmon_mapped_percentage_respect_bbduk,salmon_remaining,final_percentage_remaining_respect_total
ERR5948291,Q157,Sugarcane,65692452,1312964,1.99865,64379488,70.2443,45222921,68.8404
ERR5948326,Q238,Sugarcane,64330330,1253508,1.94855,63076822,72.8277,45937399,71.4086
ERR5948420,Q135,Sugarcane,77400572,1378983,1.78162,76021589,77.3512,58803611,75.9731
ERR5948456,Q238,Sugarcane,70377704,1802686,2.56144,68575018,58.8172,40333905,57.3106
ERR5950057,Q151,Sugarcane,67904444,14412130,21.22413,53492314,82.5613,44163950,65.0384
ERR5950059,Q151,Sugarcane,69790020,1106490,1.58546,68683530,80.9138,55574454,79.6309
ERR5950343,SRA5,Sugarcane,77105510,1731777,2.24598,75373733,61.6058,46434591,60.2221
ERR5950349,Q238,Sugarcane,81503872,56705574,69.57409,24798298,72.5055,17980130,22.0605
ERR5950935,Q157,Sugarcane,57230024,3220554,5.62739,54009470,67.7312,36581262,63.9197
ERR5952368,SRA5,Sugarcane,67287950,2901089,4.31145,64386861,63.8613,41118286,61.1079
ERR5952766,SRA3,Sugarcane,60584520,1638156,2.70392,58946364,56.1297,33086417,54.612
ERR5954095,Q151,Sugarcane,75570092,1923031,2.5447,73647061,79.0271,58201137,77.0161
ERR5954113,Q238,Sugarcane,55433138,3492918,6.30114,51940220,65.3378,33936597,61.2208
ERR5954139,Q135,Sugarcane,70985278,2211252,3.11509,68774026,80.0455,55050513,77.552
ERR5954215,Q238,Sugarcane,53846622,5750842,10.68004,48095780,62.9973,30299043,56.2692
ERR5957070,SRA5,Sugarcane,76749354,712998,0.929,76036356,70.1659,53351594,69.5141
ERR5957071,Q157,Sugarcane,75536306,2485636,3.29065,73050670,79.3272,57949051,76.7168
ERR5957074,KQB09-20432,Sugarcane,83012470,1004020,1.20948,82008450,74.5992,61177648,73.6969
ERR5957083,SRA3,Sugarcane,70195172,1452499,2.06923,68742673,75.9779,52229239,74.4057
ERR5959253,Q157,Sugarcane,73746436,1496719,2.02955,72249717,75.7011,54693831,74.1647
ERR5959255,Q157,Sugarcane,68011256,1249668,1.83744,66761588,81.0939,54139575,79.6038
ERR5959749,KQB09-20432,Sugarcane,64355436,1655017,2.57168,62700419,73.327,45976336,71.4413
ERR5960092,SRA5,Sugarcane,79188660,1325532,1.67389,77863128,65.0579,50656116,63.9689
ERR5970143,Q151,Sugarcane,78407622,1892650,2.41386,76514972,80.6027,61673133,78.6571
ERR5970264,SRA3,Sugarcane,72968236,1529247,2.09577,71438989,66.7141,47659879,65.3159
ERR5974750,SRA3,Sugarcane,73406340,2470475,3.36548,70935865,77.3957,54901309,74.791
ERR5975231,Q238,Sugarcane,92329548,2378132,2.5757,89951416,79.8278,71806236,77.7717
ERR5976733,Q157,Sugarcane,76541048,2391667,3.12469,74149381,60.9625,45203316,59.0576
ERR5976777,Q151,Sugarcane,62053048,3101968,4.9989,58951080,66.0297,38925221,62.7289
ERR5976778,SRA5,Sugarcane,72417228,1827455,2.52351,70589773,72.3896,51099654,70.5628
ERR5976781,Q151,Sugarcane,67175968,1602771,2.38593,65573197,80.5066,52790751,78.5858
ERR5976782,SRA3,Sugarcane,67083412,1093104,1.62947,65990308,67.0902,44273030,65.997
ERR5978018,Q135,Sugarcane,61241936,1823672,2.97782,59418264,72.5004,43078479,70.3415
ERR5978222,Q157,Sugarcane,58441456,9238098,15.80744,49203358,63.9478,31464465,53.8393
ERR5978239,Q157,Sugarcane,82766304,2763556,3.33899,80002748,73.1293,58505450,70.6875
ERR5979921,Q151,Sugarcane,65499846,3093361,4.7227,62406485,71.1121,44378562,67.7537
ERR5981343,Q238,Sugarcane,54116278,2940404,5.43349,51175874,69.9425,35793686,66.1422
ERR5986540,Q135,Sugarcane,62697412,2889892,4.60927,59807520,67.757,40523781,64.6339
ERR5986541,SRA5,Sugarcane,69563210,2934207,4.21804,66629003,76.9399,51264288,73.6945
ERR5986956,Q135,Sugarcane,61969682,2748334,4.43497,59221348,69.6071,41222263,66.52
ERR5987180,KQB09-20432,Sugarcane,67782386,1742911,2.57133,66039475,79.7577,52671566,77.7069
ERR5987787,KQB09-20432,Sugarcane,66853872,2099754,3.14081,64754118,80.8581,52358949,78.3185
ERR5988136,KQB09-20432,Sugarcane,63771802,1784701,2.79857,61987101,63.3126,39245645,61.5407
SRR5258960,KQB09-20432,Sugarcane,3264216,1060221,32.48011,2203995,68.5268,1510327,46.2692
SRR5258961,KQB09-20432,Sugarcane,3267438,1062422,32.51544,2205016,68.5875,1512365,46.286
SRR5259000,KQB09-20432,Sugarcane,22815170,20425428,89.52564,2389742,72.6135,1735275,7.6058
SRR5259001,KQB09-20432,Sugarcane,22690730,20319116,89.54809,2371614,72.7637,1725674,7.6052
SRR10666207,RTx430,Sorghum,65109786,3548265,5.44966,61561521,96.6494,59498840.677374,91.382331800897
SRR10666276,RTx430,Sorghum,75536794,3669557,4.85797,71867237,95.6992,68776370.871104,91.0501587757405
SRR10666371,BTx642,Sorghum,45621166,2298866,5.03903,43322300,90.4856,39200443.0888,85.9259999816752
SRR10666378,BTx642,Sorghum,67162672,3771210,5.61504,63391462,86.3104,54713424.418048,81.4640376696865
SRR10666396,BTx642,Sorghum,65238698,4604070,7.05727,60634628,85.2319,51680045.502332,79.2168560787832
SRR10666399,BTx642,Sorghum,64486500,2410485,3.73797,62076015,91.9487,57078088.804305,88.5116866387616
SRR10666429,BTx642,Sorghum,69889552,3702442,5.29756,66187110,88.2959,58440504.45849,83.6183703946049
SRR10666434,BTx642,Sorghum,72627532,7113308,9.79423,65514224,92.942,60890230.07008,83.8390461486148
SRR10666442,BTx642,Sorghum,69141686,3271240,4.73121,65870446,84.9379,55948973.553034,80.9193075694365
SRR10666476,BTx642,Sorghum,73942406,2673722,3.61595,71268684,92.6386,66022311.096024,89.2888325760241
SRR10666503,BTx642,Sorghum,52584982,2850834,5.42138,49734148,85.1507,42348975.161036,80.5343532513447
SRR10906294,BTx642,Sorghum,93643682,6873959,7.34055,86769723,95.0491,82473840.783993,88.0719756235055
SRR10906295,BTx642,Sorghum,68955172,2983241,4.32635,65971931,87.1796,57514065.558076,83.4079067456695
SRR10906348,BTx642,Sorghum,68428628,5058774,7.39277,63369854,91.9288,58255146.343952,85.1327113323856
SRR10906375,BTx642,Sorghum,64357768,3537706,5.49694,60820062,87.6046,53281172.034852,82.7890302765814
SRR11011838,RTx430,Sorghum,62197190,2399023,3.85712,59798167,94.2755,56375020.930085,90.6391766735523
SRR11077563,RTx430,Sorghum,52634900,2820007,5.35768,49814893,90.1196,44892982.312028,85.2912845128004
SRR11077580,RTx430,Sorghum,76986034,3746539,4.86652,73239495,88.5333,64841341.826835,84.2248112519148
SRR11077614,RTx430,Sorghum,75623318,3028243,4.00438,72595075,84.5888,61407302.8016,81.2015452715259
SRR11077617,RTx430,Sorghum,57245792,2624753,4.58506,54621039,86.1368,47048815.121352,82.187377408198
SRR11077620,RTx430,Sorghum,88383502,5355506,6.0594,83027996,84.7521,70367970.197916,79.6166350117197
SRR11077653,RTx430,Sorghum,99988904,11204874,11.20612,88784030,82.7979,73511312.37537,73.5194700957718
SRR11077696,RTx430,Sorghum,81876312,4723711,5.76933,77152601,82.6068,63733294.802868,77.8409447690658
SRR11077717,RTx430,Sorghum,69670228,4395524,6.30904,65274704,90.7719,59251089.040176,85.045062634467
SRR11077764,RTx430,Sorghum,84057196,5209458,6.19752,78847738,91.9665,72513504.96777,86.2668616352251
SRR11077779,RTx430,Sorghum,75425012,5454416,7.23157,69970596,81.2892,56878537.723632,75.4107108708607
SRR11077809,RTx430,Sorghum,71487134,10619818,14.85557,60867316,85.9533,52317466.723428,73.1844512376563
SRR19383835,Della,Sorghum,NA,NA,NA,NA,NA,NA,NA
SRR19383836,Della,Sorghum,52598424,850915,1.61776,51747509,98.2489,50841358.369901,96.6594709565842
SRR19383837,Della,Sorghum,57295818,1739892,3.03668,55555926,97.8067,54337417.875042,94.8366211911697
SRR19383838,Della,Sorghum,52907832,1932727,3.65301,50975105,98.1105,50011930.391025,94.5265162084604
SRR19383839,Della,Sorghum,76213340,1086541,1.42566,75126799,98.1745,73755359.284255,96.774868132344
SRR19383840,Della,Sorghum,55487610,911432,1.64259,54576178,98.2227,53606195.588406,96.6093071739907
SRR19383841,Della,Sorghum,54246344,935464,1.72447,53310880,98.1439,52321376.75632,96.4514341396353
SRR19383842,Della,Sorghum,58135362,917915,1.57893,57217447,98.3549,56276162.779403,96.8019478048541
SRR19383843,Della,Sorghum,69076936,901803,1.30551,68175133,98.1483,66912734.062239,96.8669688276837
SRR19383844,Della,Sorghum,60100082,882173,1.46784,59217909,98.2369,58173838.046421,96.7949395583537
SRR19383845,Della,Sorghum,51234736,1554684,3.03443,49680052,98.4131,48891679.254812,95.426819911421
SRR19383846,Della,Sorghum,47042982,4834853,10.27752,42208129,98.1331,41420145.439699,88.0474486921322
SRR19383847,Della,Sorghum,57821114,482191,0.83394,57338923,98.387,56414046.17201,97.5665155327343
SRR19383848,Della,Sorghum,57822254,576139,0.9964,57246115,98.3418,56296859.92107,97.3619256023295
SRR19383849,Della,Sorghum,45614168,3054976,6.69743,42559192,98.2254,41803936.578768,91.6468246856284
SRR19383850,Della,Sorghum,50308478,594844,1.18239,49713634,98.2911,48864077.708574,97.1289127621273
SRR19383851,Della,Sorghum,46382454,622120,1.34128,45760334,97.668,44693203.01112,96.3579956574096
SRR19383852,Della,Sorghum,41343302,452786,1.09519,40890516,97.7095,39953918.73102,96.6393993663593
SRR19383853,Della,Sorghum,57542768,912391,1.58559,56630377,98.3072,55671737.978144,96.7484532168213
SRR19383854,Della,Sorghum,39828694,859319,2.15754,38969375,97.2596,37901458.2475,95.1611876791642
SRR19383855,Della,Sorghum,55828098,3767449,6.7483,52060649,98.2956,51173327.298444,91.6623154499084
SRR19383856,Della,Sorghum,55438824,1497423,2.70104,53941401,97.9838,52853834.473038,95.3372215706415
SRR19383857,Della,Sorghum,49402562,3915163,7.92502,45487399,98.208,44672264.80992,90.4249961974037
SRR19383858,Della,Sorghum,44913312,4229742,9.41757,40683570,98.1239,39920305.54323,88.8830143348814
SRR20912171,BTx623,Sorghum,44888706,897815,2.00009,43990891,97.2625,42786640.358875,95.3171614233545
SRR20912172,BTx623,Sorghum,45446154,1292617,2.84428,44153537,97.0486,42850389.508982,94.2882636646921
SRR20912173,BTx623,Sorghum,46708740,713992,1.5286,45994748,96.9119,44574384.187012,95.4305001312645
SRR20912174,BTx623,Sorghum,44391636,650483,1.46533,43741153,96.0411,42009484.493883,94.6337830258903
SRR20912175,BTx623,Sorghum,45997524,800288,1.73985,45197236,96.6412,43679151.237232,94.95978791648
SRR20912176,BTx623,Sorghum,45455582,682666,1.50183,44772916,96.5912,43246696.839392,95.1405634612533
SRR20912177,BTx623,Sorghum,46182778,1068903,2.31451,45113875,96.5334,43549957.40925,94.2991290156907
SRR20912178,BTx623,Sorghum,44746806,953935,2.13185,43792871,97.3647,42638797.470537,95.2890301724262
SRR20912179,BTx623,Sorghum,44000746,1176971,2.67489,42823775,73.4076,31435905.4569,71.4440283737462
SRR20912180,BTx623,Sorghum,45623384,1386471,3.03895,44236913,81.2049,35922540.964737,78.7371251653253
SRR20912181,BTx623,Sorghum,46029960,959499,2.08451,45070461,83.8215,37778736.467115,82.0742326674084
SRR20912182,BTx623,Sorghum,45891406,858085,1.86982,45033321,83.8984,37782235.785864,82.3296540225069
SRR20912183,BTx623,Sorghum,45946112,933730,2.03223,45012382,95.4892,42981963.472744,93.5486412272359
SRR20912184,BTx623,Sorghum,45620886,945554,2.07263,44675332,96.1324,42947468.859568,94.1399271806514
SRR20912185,BTx623,Sorghum,47497014,801274,1.687,46695740,93.2631,43549894.69194,91.6897527325402
SRR20912186,BTx623,Sorghum,46157998,874157,1.89384,45283841,96.8165,43842229.921765,94.9829538139089
SRR20912187,BTx623,Sorghum,45948858,647948,1.41015,45300910,96.9996,43941701.49636,95.6317597629086
SRR20912188,BTx623,Sorghum,45441814,1109747,2.44213,44332067,97.128,43058850.03576,94.7560104791591
SRR20912189,BTx623,Sorghum,45527332,798724,1.75438,44728608,96.9826,43378966.982208,95.2811532690034
SRR20912190,BTx623,Sorghum,45544656,806438,1.77065,44738218,96.5003,43172514.584654,94.7916141570023
SRR6188828,Rio,Sorghum,54741434,23166724,42.32027,31574710,91.729,28963165.7359,52.9090373041744
SRR6188829,Rio,Sorghum,65593806,30403629,46.35137,35190177,92.071,32399947.86567,49.394828325208
SRR6188846,Rio,Sorghum,54420700,24925764,45.80199,29494936,92.0894,27161709.592784,49.9106214965702
SRR6188847,Rio,Sorghum,59611006,22102254,37.07747,37508752,95.7124,35900526.749248,60.2246617835102
SRR6188848,Rio,Sorghum,69712582,31580015,45.30031,38132567,91.8544,35026440.622448,50.2440730461655
SRR6188849,Rio,Sorghum,58946478,26713011,45.3174,32233467,91.5925,29523438.261975,50.0851607486625
SRR6188850,Rio,Sorghum,64707360,29182205,45.09874,35525155,95.7133,34002298.180615,52.5478062783198
SRR6188851,Rio,Sorghum,58599090,26678143,45.52655,31920947,92.4642,29515448.275974,50.3684413460584
SRR6188852,Rio,Sorghum,54138104,28705773,53.02323,25432331,96.2798,24486197.422138,45.2291373597753
SRR6188853,Rio,Sorghum,50536724,22780453,45.07703,27756271,96.0938,26672055.542198,52.7775713008188
SRR6188854,Rio,Sorghum,50022104,15229476,30.44549,34792628,95.6488,33278731.170464,66.5280516198679
SRR6188855,Rio,Sorghum,36934914,16538344,44.77699,20396570,95.9905,19578769.52585,53.0088401609653
SRR8464871,Keller,Sorghum,45990790,1662840,3.61559,44327950,93.392,41398759.064,90.0153249465817
SRR8464872,Keller,Sorghum,53406146,2298653,4.3041,51107493,87.0794,44504098.259442,83.331417060954
SRR8464873,Keller,Sorghum,40060876,1511168,3.77218,38549708,87.4647,33717386.453076,84.1653748487077
SRR8464874,Keller,Sorghum,42977792,1593727,3.70826,41384065,87.4314,36182667.40641,84.1892189491959
SRR8464875,Keller,Sorghum,27886474,1082827,3.88298,26803647,87.0893,23343108.546771,83.7076374258395
SRR8464876,Keller,Sorghum,42089754,1515101,3.59969,40574653,87.9623,35690397.995819,84.7959291846158
SRR8464877,Keller,Sorghum,43897664,1591975,3.62656,42305689,87.4468,36994971.248452,84.2754895760558
SRR8464878,Keller,Sorghum,41470296,1298213,3.13046,40172083,86.9703,34937781.101349,84.2477254113378
SRR8464879,Keller,Sorghum,101448644,4163124,4.10368,97285520,87.6061,85228049.93672,84.0110292028349
SRR8464880,Keller,Sorghum,45578806,2428469,5.32807,43150337,94.1983,40646883.898271,89.1793521275459
SRR8464881,Keller,Sorghum,55666728,1731941,3.11127,53934787,87.0313,46940146.278331,84.3235231615032
SRR8464882,Keller,Sorghum,48557068,1598715,3.29245,46958353,86.8763,40795679.627339,84.0159451706166
SRR8464883,Keller,Sorghum,54128818,1990329,3.67702,52138489,85.5384,44598429.274776,82.3931334964233
SRR8464884,Keller,Sorghum,38783902,1829503,4.71717,36954399,87.5315,32346739.760685,83.4024894160598
SRR8464885,Keller,Sorghum,82996808,3231796,3.89388,79765012,87.9638,70164335.625656,84.5385952983349
SRR8464886,Keller,Sorghum,60602850,2962582,4.88852,57640268,93.9576,54157412.446368,89.3644646190204
SRR8464887,Keller,Sorghum,33492964,1089030,3.25152,32403934,85.7353,27781610.026702,82.9476006563707
SRR8464888,Keller,Sorghum,50468248,1472618,2.91791,48995630,87.2018,42725071.28134,84.6573300530266
SRR8464889,Keller,Sorghum,57615566,2061126,3.57738,55554440,93.6662,52035732.87928,90.3154069149993
SRR8464890,Keller,Sorghum,44040800,2823168,6.41035,41217632,87.8063,36191677.606816,82.177611684656
SRR9025216,RTx430,Sorghum,60383130,1861383,3.08262,58521747,91.1671,53352579.609237,88.3567638995146
SRR9025270,RTx430,Sorghum,77758824,6070524,7.80686,71688300,96.7496,69358143.4968,89.1964923451003
SRR9025275,RTx430,Sorghum,58845594,1747262,2.96923,57098332,89.423,51059041.42436,86.7678239841712
SRR9025322,RTx430,Sorghum,65847850,1895256,2.87824,63952594,91.5857,58571430.883058,88.9496481404602
SRR9025332,RTx430,Sorghum,78213712,1429029,1.82708,76784683,93.6442,71904402.117886,91.933243262877
SRR9025425,RTx430,Sorghum,80077746,3484453,4.35134,76593293,93.9974,71995703.994382,89.9072558740377
SRR9025860,BTx642,Sorghum,82030718,2764860,3.37052,79265858,94.8243,75163294.987494,91.6282300338929
SRR9025924,BTx642,Sorghum,67083824,2782799,4.14824,64301025,91.4338,58792870.59645,87.640905200112
SRR9025933,BTx642,Sorghum,60460810,1361473,2.25183,59099337,82.7885,48927454.612245,80.9242459904937
SRR9025966,BTx642,Sorghum,84101854,2951068,3.50892,81150786,89.6568,72757197.902448,86.5108133079302
SRR9025982,BTx642,Sorghum,78890836,2317830,2.93802,76573006,95.2456,72932419.002736,92.4472634600247
SRR9026110,BTx642,Sorghum,47437942,1277103,2.69216,46160839,89.7686,41437938.918554,87.3518900093811
SRR9026127,BTx642,Sorghum,59673222,1335146,2.23743,58338076,95.2764,55582418.642064,93.1446581551504
