SampleID,genotype,DOI,Strandness,Layout,PO_anatomy,PO_dev_stage,PECO,ConditionDescription,Replicate
ERR5908673,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_KQB09-20432_Internode 8,3
ERR5914380,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_SRA5_Internode 5,3
ERR5917041,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q157_Internode 8,3
ERR5917042,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode 8,3
ERR5919572,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q135_Internode 5,3
ERR5927876,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA3_Internode 5,3
ERR5927878,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA3_Internode 8,3
ERR5927880,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q135_Internode 8,3
ERR5927881,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q238_Internode 5,3
ERR5927882,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA5_Internode 8,3
ERR5927883,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q151_Internode 8,3
ERR5934427,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_SRA3_Internode 5,3
ERR5935630,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA3_Internode 8,3
ERR5943380,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode 5,3
ERR5943487,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q238_Internode 8,3
ERR5947504,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q135_Internode Ex-5,3
ERR5947505,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_SRA5_Internode Ex-5,3
ERR5948277,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode 5,3
ERR5948284,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q157_Internode Ex-5,3
ERR5948286,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode Ex-5,3
ERR5948291,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q157_Internode 5,3
ERR5948326,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q238_Internode 8,3
ERR5948420,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q135_Internode 8,3
ERR5948456,Q238,10.1007/s00122-022-04058-3,unstranded,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q238_Internode 5,3
ERR5950057,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q151_Internode 8,3
ERR5950059,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q151_Internode 5,3
ERR5950343,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA5_Internode 8,3
ERR5950349,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q238_Internode Ex-5,3
ERR5950935,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q157_Internode Ex-5,3
ERR5952368,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_SRA5_Internode Ex-5,3
ERR5952766,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA3_Internode 5,3
ERR5954095,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q151_Internode 5,3
ERR5954113,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q238_Internode 5,3
ERR5954139,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_Q135_Internode 8,3
ERR5954215,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q238_Internode Ex-5,3
ERR5957070,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_SRA5_Internode 5,3
ERR5957071,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_Q157_Internode Ex-5,3
ERR5957074,KQB09-20432,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007108,NA,37 weeks_KQB09-20432_Internode Ex-5,3
ERR5957083,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007108,NA,37 weeks_SRA3_Internode Ex-5,3
